ItemID,Postcode,Price
1,SR2 0QP,62
2,CF14 1LE,26
3,SR8 4HA,41
4,AB55 6UY,86
5,SR8 4HA,8
6,HU15 2XH,43
7,RH10 4UQ,29
8,SR8 4HA,95
9,EH48 1HF,45
10,SR8 4HA,52
11,M40 0EF,23
12,CM0 8FA,48
13,CF14 1LE,34
14,CM0 8FA,72
15,M40 0EF,6
16,SR2 0QP,67
17,SR8 4HA,16
18,AB55 6UY,49
19,SR2 0QP,87
20,RH10 4UQ,68
21,SM6 7ET,20
22,SM6 7ET,31
23,SM6 7ET,61
24,AB55 6UY,52
25,SR2 0QP,25
26,RH10 4UQ,38
27,M40 0EF,87
28,RH10 4UQ,97
29,AB55 6UY,17
30,CM0 8FA,40
31,CF14 1LE,30
32,AB55 6UY,95
33,RH10 4UQ,41
34,HU15 2XH,11
35,AB55 6UY,18
36,CF14 1LE,69
37,SM6 7ET,23
38,HU15 2XH,6
39,SR2 0QP,9
40,SR2 0QP,64
41,RH10 4UQ,99
42,HU15 2XH,49
43,EH48 1HF,38
44,AB55 6UY,12
45,SM6 7ET,9
46,AB55 6UY,69
47,AB55 6UY,51
48,HU15 2XH,27
49,CM0 8FA,20
50,M40 0EF,42
51,SR2 0QP,39
52,SM6 7ET,91
53,HU15 2XH,67
54,RH10 4UQ,15
55,RH10 4UQ,8
56,M40 0EF,69
57,CF14 1LE,43
58,HU15 2XH,78
59,RH10 4UQ,84
60,M40 0EF,13
61,SR2 0QP,31
62,SR8 4HA,11
63,SM6 7ET,39
64,SM6 7ET,31
65,RH10 4UQ,75
66,EH48 1HF,80
67,SR8 4HA,85
68,SR2 0QP,96
69,M40 0EF,5
70,CM0 8FA,29
71,CF14 1LE,59
72,RH10 4UQ,46
73,EH48 1HF,41
74,RH10 4UQ,72
75,CF14 1LE,74
76,SR8 4HA,23
77,RH10 4UQ,60
78,SR8 4HA,36
79,SR2 0QP,55
80,CM0 8FA,80
81,AB55 6UY,8
82,SR2 0QP,34
83,CF14 1LE,33
84,RH10 4UQ,41
85,CF14 1LE,63
86,HU15 2XH,80
87,CF14 1LE,60
88,AB55 6UY,77
89,CM0 8FA,71
90,SR8 4HA,97
91,SR8 4HA,94
92,M40 0EF,72
93,EH48 1HF,18
94,HU15 2XH,79
95,SR2 0QP,86
96,SR2 0QP,76
97,RH10 4UQ,38
98,SR2 0QP,78
99,SR8 4HA,78
100,SR2 0QP,6
101,M40 0EF,55
102,HU15 2XH,69
103,CF14 1LE,22
104,CF14 1LE,66
105,SR8 4HA,91
106,M40 0EF,79
107,CM0 8FA,80
108,HU15 2XH,77
109,RH10 4UQ,95
110,RH10 4UQ,59
111,SM6 7ET,37
112,RH10 4UQ,7
113,SM6 7ET,76
114,AB55 6UY,85
115,AB55 6UY,60
116,CF14 1LE,16
117,HU15 2XH,33
118,EH48 1HF,44
119,SM6 7ET,17
120,CF14 1LE,60
121,CM0 8FA,27
122,SM6 7ET,60
123,M40 0EF,43
124,M40 0EF,51
125,HU15 2XH,24
126,HU15 2XH,34
127,AB55 6UY,83
128,HU15 2XH,71
129,SR8 4HA,31
130,M40 0EF,54
131,SM6 7ET,9
132,SR8 4HA,81
133,CF14 1LE,91
134,EH48 1HF,55
135,CF14 1LE,50
136,M40 0EF,92
137,HU15 2XH,71
138,SR8 4HA,32
139,SM6 7ET,49
140,M40 0EF,27
141,EH48 1HF,61
142,AB55 6UY,73
143,CF14 1LE,85
144,M40 0EF,71
145,CF14 1LE,55
146,AB55 6UY,42
147,CM0 8FA,67
148,CF14 1LE,76
149,M40 0EF,39
150,CM0 8FA,9
151,SM6 7ET,33
152,HU15 2XH,95
153,CF14 1LE,86
154,RH10 4UQ,37
155,SR2 0QP,74
156,CM0 8FA,45
157,SM6 7ET,7
158,SR2 0QP,68
159,M40 0EF,25
160,CM0 8FA,24
161,CM0 8FA,90
162,M40 0EF,49
163,SR2 0QP,33
164,CM0 8FA,24
165,CM0 8FA,45
166,SM6 7ET,65
167,CF14 1LE,53
168,SM6 7ET,38
169,M40 0EF,52
170,RH10 4UQ,78
171,RH10 4UQ,58
172,SR2 0QP,32
173,HU15 2XH,21
174,AB55 6UY,91
175,CF14 1LE,43
176,M40 0EF,73
177,CM0 8FA,19
178,CM0 8FA,24
179,SR8 4HA,96
180,CM0 8FA,29
181,CF14 1LE,12
182,CM0 8FA,51
183,RH10 4UQ,72
184,M40 0EF,51
185,SR2 0QP,93
186,EH48 1HF,43
187,CF14 1LE,98
188,AB55 6UY,83
189,RH10 4UQ,5
190,SR2 0QP,24
191,SM6 7ET,44
192,CF14 1LE,19
193,RH10 4UQ,88
194,RH10 4UQ,84
195,RH10 4UQ,55
196,M40 0EF,8
197,CM0 8FA,33
198,CF14 1LE,44
199,RH10 4UQ,74
200,HU15 2XH,87
201,HU15 2XH,8
202,SR8 4HA,36
203,CF14 1LE,88
204,EH48 1HF,56
205,SM6 7ET,14
206,AB55 6UY,48
207,M40 0EF,67
208,AB55 6UY,88
209,CF14 1LE,74
210,SR2 0QP,69
211,AB55 6UY,27
212,RH10 4UQ,62
213,EH48 1HF,65
214,SR8 4HA,78
215,HU15 2XH,33
216,SR2 0QP,60
217,SR8 4HA,88
218,HU15 2XH,50
219,SM6 7ET,65
220,SM6 7ET,38
221,EH48 1HF,21
222,CM0 8FA,20
223,HU15 2XH,70
224,AB55 6UY,82
225,RH10 4UQ,15
226,SR8 4HA,84
227,HU15 2XH,80
228,HU15 2XH,35
229,HU15 2XH,46
230,HU15 2XH,72
231,AB55 6UY,99
232,AB55 6UY,78
233,HU15 2XH,56
234,CM0 8FA,21
235,EH48 1HF,96
236,CM0 8FA,56
237,EH48 1HF,83
238,CM0 8FA,31
239,M40 0EF,60
240,SR2 0QP,41
241,CF14 1LE,50
242,CF14 1LE,37
243,SM6 7ET,58
244,CF14 1LE,97
245,SM6 7ET,19
246,SR2 0QP,46
247,EH48 1HF,7
248,RH10 4UQ,49
249,HU15 2XH,53
250,RH10 4UQ,20
251,AB55 6UY,55
252,HU15 2XH,33
253,AB55 6UY,22
254,SM6 7ET,48
255,SR2 0QP,58
256,SR8 4HA,61
257,CF14 1LE,85
258,SR8 4HA,12
259,M40 0EF,5
260,SM6 7ET,41
261,AB55 6UY,64
262,SR2 0QP,75
263,CF14 1LE,59
264,M40 0EF,68
265,CF14 1LE,23
266,CF14 1LE,89
267,CF14 1LE,49
268,SR2 0QP,77
269,SR2 0QP,54
270,CM0 8FA,60
271,HU15 2XH,93
272,SR2 0QP,12
273,HU15 2XH,6
274,HU15 2XH,40
275,SM6 7ET,51
276,AB55 6UY,79
277,EH48 1HF,98
278,EH48 1HF,23
279,CF14 1LE,52
280,AB55 6UY,90
281,CF14 1LE,98
282,CF14 1LE,56
283,SM6 7ET,69
284,SR8 4HA,91
285,RH10 4UQ,51
286,HU15 2XH,94
287,AB55 6UY,67
288,CF14 1LE,86
289,SM6 7ET,21
290,RH10 4UQ,80
291,CM0 8FA,76
292,SR2 0QP,25
293,RH10 4UQ,51
294,CF14 1LE,59
295,CF14 1LE,30
296,M40 0EF,23
297,SR8 4HA,31
298,M40 0EF,6
299,M40 0EF,79
300,AB55 6UY,69
301,SR8 4HA,83
302,SR8 4HA,25
303,CF14 1LE,80
304,CF14 1LE,15
305,AB55 6UY,11
306,M40 0EF,61
307,RH10 4UQ,80
308,CF14 1LE,26
309,AB55 6UY,74
310,SR2 0QP,11
311,HU15 2XH,41
312,SR8 4HA,86
313,SM6 7ET,91
314,SR2 0QP,48
315,RH10 4UQ,80
316,SR8 4HA,37
317,M40 0EF,64
318,SM6 7ET,90
319,SM6 7ET,13
320,M40 0EF,36
321,CM0 8FA,32
322,M40 0EF,60
323,SR2 0QP,80
324,HU15 2XH,91
325,M40 0EF,47
326,SR2 0QP,91
327,EH48 1HF,68
328,RH10 4UQ,87
329,CM0 8FA,23
330,CM0 8FA,16
331,CF14 1LE,73
332,SM6 7ET,25
333,CF14 1LE,19
334,SM6 7ET,26
335,CM0 8FA,38
336,HU15 2XH,46
337,CM0 8FA,86
338,M40 0EF,90
339,CF14 1LE,44
340,RH10 4UQ,38
341,SR2 0QP,56
342,SR2 0QP,68
343,SR8 4HA,49
344,EH48 1HF,50
345,AB55 6UY,96
346,M40 0EF,29
347,CF14 1LE,43
348,AB55 6UY,85
349,EH48 1HF,93
350,HU15 2XH,95
351,AB55 6UY,74
352,M40 0EF,51
353,HU15 2XH,96
354,M40 0EF,78
355,M40 0EF,78
356,RH10 4UQ,66
357,SM6 7ET,99
358,EH48 1HF,30
359,SM6 7ET,63
360,AB55 6UY,51
361,SR8 4HA,88
362,SR2 0QP,78
363,RH10 4UQ,66
364,M40 0EF,15
365,CF14 1LE,92
366,SM6 7ET,89
367,SM6 7ET,25
368,RH10 4UQ,17
369,SM6 7ET,76
370,HU15 2XH,94
371,SR8 4HA,21
372,HU15 2XH,84
373,SM6 7ET,58
374,SR8 4HA,59
375,CF14 1LE,30
376,HU15 2XH,95
377,SM6 7ET,57
378,SR8 4HA,49
379,SR2 0QP,76
380,AB55 6UY,47
381,SR2 0QP,8
382,AB55 6UY,73
383,EH48 1HF,37
384,EH48 1HF,49
385,EH48 1HF,25
386,CM0 8FA,49
387,SM6 7ET,16
388,RH10 4UQ,49
389,SM6 7ET,94
390,HU15 2XH,59
391,SR2 0QP,33
392,SR2 0QP,30
393,SR8 4HA,30
394,CM0 8FA,20
395,HU15 2XH,73
396,SR2 0QP,28
397,EH48 1HF,79
398,EH48 1HF,81
399,SR8 4HA,37
400,SR2 0QP,76
401,HU15 2XH,23
402,SR2 0QP,42
403,HU15 2XH,72
404,HU15 2XH,16
405,AB55 6UY,6
406,SM6 7ET,18
407,SR2 0QP,18
408,SM6 7ET,50
409,M40 0EF,78
410,RH10 4UQ,92
411,CM0 8FA,39
412,SR2 0QP,57
413,CF14 1LE,35
414,HU15 2XH,87
415,RH10 4UQ,61
416,RH10 4UQ,22
417,CM0 8FA,61
418,CF14 1LE,90
419,AB55 6UY,9
420,HU15 2XH,41
421,SR2 0QP,12
422,AB55 6UY,89
423,M40 0EF,28
424,RH10 4UQ,18
425,RH10 4UQ,17
426,RH10 4UQ,78
427,SR2 0QP,63
428,SR8 4HA,20
429,SM6 7ET,20
430,HU15 2XH,17
431,CF14 1LE,48
432,EH48 1HF,81
433,CM0 8FA,23
434,EH48 1HF,84
435,SM6 7ET,7
436,SR2 0QP,89
437,HU15 2XH,29
438,SR2 0QP,39
439,SM6 7ET,97
440,EH48 1HF,90
441,CF14 1LE,26
442,SM6 7ET,27
443,CF14 1LE,35
444,SR8 4HA,90
445,AB55 6UY,9
446,AB55 6UY,18
447,SR2 0QP,36
448,CF14 1LE,21
449,SR8 4HA,63
450,SR2 0QP,9
451,EH48 1HF,23
452,M40 0EF,76
453,RH10 4UQ,25
454,HU15 2XH,41
455,M40 0EF,44
456,SR2 0QP,75
457,CF14 1LE,95
458,EH48 1HF,97
459,CM0 8FA,78
460,SM6 7ET,62
461,AB55 6UY,15
462,CM0 8FA,99
463,SR2 0QP,92
464,SM6 7ET,47
465,SR8 4HA,45
466,EH48 1HF,39
467,SR2 0QP,95
468,EH48 1HF,62
469,CF14 1LE,14
470,RH10 4UQ,61
471,SR2 0QP,86
472,M40 0EF,34
473,EH48 1HF,7
474,CF14 1LE,12
475,AB55 6UY,54
476,SM6 7ET,98
477,CM0 8FA,46
478,SR2 0QP,77
479,CM0 8FA,26
480,SR8 4HA,99
481,SR8 4HA,69
482,SR2 0QP,95
483,M40 0EF,18
484,CF14 1LE,64
485,SM6 7ET,31
486,SM6 7ET,26
487,AB55 6UY,31
488,EH48 1HF,40
489,SR8 4HA,55
490,AB55 6UY,70
491,SM6 7ET,67
492,CF14 1LE,39
493,SR8 4HA,78
494,CM0 8FA,63
495,SM6 7ET,17
496,SM6 7ET,98
497,SR2 0QP,79
498,EH48 1HF,99
499,EH48 1HF,76
500,SR8 4HA,82
